Which of the following languages can be used to write server side scripting in ASP.NET | Both A and C (C# va Visual Basic)
There can be more than 1 machine.config file in a systemSkill/Topic: Beginner | True
What is the extension of a web user control file ?Skill/Topic: Beginner | . Ascx
What is the default session out timeSkill/Topic: Beginner | 20 Min
Which of the following is true ?Skill/Topic: Beginner | IsPostBack is a readonly property of System.Web.UI.Page class
It is possible to set Maximum length for a text box through codeSkill/Topic: Intermediate | True
The number of forms that can be added to a aspx page isSkill/Topic: Intermediate | 1
How do you manage states in asp.net applicationSkill/Topic: Intermediate | All of the above
what is the difference between user control and custom controlSkill/Topic: Intermediate | One Custom Control can be use in different project but not the same with User control
The interface used by ASP.Net to create Unique Id’s?Skill/Topic: Intermediate | System.UI.Naming.Container
Which property of the session object is used to set the local identifier ?Skill/Topic: Intermediate | LCID
Select the caching type supported by ASP.NetSkill/Topic: Intermediate | Both a & b ( Output Caching va DataCaching)
Where is the default Session data is stored in ASP.NetSkill/Topic: Intermediate | InProcess
How do you disable client side validation ?Skill/Topic: Intermediate | Set the inherits property to codeb
Select the validation control used for “PatternMatching”Skill/Topic: Intermediate | RegularExpressionValidator
How do you trace the application_End event on runtime?Skill/Topic: Intermediate | Can not be done
How do you turn off the Session state for a webform ?Skill/Topic: Intermediate | In Web.config file set the tag to false
Who can access Session state variablesSkill/Topic: Intermediate | A Single session
Select the type Processing model that asp.net simulateSkill/Topic: Intermediate | Event-driven
Does the “EnableViewState” allows the page to save the users input on a formSkill/Topic: Intermediate | Yes
Web Controls Supports CSSSkill/Topic: Intermediate | True
Session Object classes are defined in which of the following namespace?Skill/Topic: Intermediate | System.Web.SessionState
Which DLL translate XML to SQL in IISSkill/Topic: Intermediate | SQLISAPI.dll
What is the default authentication mode for IISSkill/Topic: Intermediate | Anonymous
Which of the following is not a valid state management tool?Skill/Topic: Intermediate | Querystate
What is the maximum number of cookies that can be allowed to a web siteSkill/Topic: Intermediate | 20
Select the control which does not have any visible interfaceSkill/Topic: Intermediate | Repeater
How do you explicitly kill a user’s session ?Skill/Topic: Intermediate | Session.Abandon
Why do we use XMLSerializer classSkill/Topic: Intermediate | WebServices
What does Response.End will do?Skill/Topic: Intermediate | It will stop the server process
Which control supports pagingSkill/Topic: Intermediate | Datagrid
Where do you store the information about the user localeSkill/Topic: Intermediate | System.Web.UI.Page.Culture
What is the purpose of code behind ?Skill/Topic: Intermediate | To separate HTML Layout and code to different file
What is a satallite assembly ?Skill/Topic: Intermediate | An Assembly containing localized resources for another assembly
Which of the following is not a member of Response Object?Skill/Topic: Advanced | Execute
The object used by SQL connection to make Security DemandsSkill/Topic: Advanced | SQLPermission
Which of the following is not a member of ADODBCommand objectSkill/Topic: Advanced |  Open
Which method do you invoke on the DataAdapter control to load your generated dataset with data?Skill/Topic: Advanced |  Fill
How to open more than one datareader at a timeSkill/Topic: Advanced | Use different datareader and connection variable
What is the advantage of Disconnected mode of ADO.Net in ASP.NetSkill/Topic: Advanced | user data can update and retrieve in dataset and when connection connected, update values with server
Which objects is used to create foreign key between tables?Skill/Topic: Advanced | DataRelation
Which one of the following namespaces contains the definition for IdbConnectionSkill/Topic: Advanced | System.Data
Select the Interface which provides Fast, connected forward-only access to dataSkill/Topic: | IdataReader
How do we Delete, Update, Select data in a DatasetSkill/Topic: Advanced | Using SQLDataAdapter
Which of the following is not a member of ConnectionObjectSkill/Topic: Advanced |  Execute
Is it Possible to Serialize HashTable with XMLSerializerSkill/Topic: Advanced | Yes
What is the Full Form of WSDLSkill/Topic: Advanced | Web Service Description Language
What is the difference between Server.Transfer & Response.RedirectSkill/Topic: Advanced | Response.Redirect needs roundtrip, Server.Transfer does not
Which Language can Support SOAPSkill/Topic: Advanced | All of the above
What is the size of the session IDSkill/Topic: Advanced | 32 bit long string
Which of the following extension does a webservice file will haveSkill/Topic: Advanced | .Asmx
What is a strong name?Skill/Topic: Advanced | Combination Of both Public,Private key and digital signature
What is the purpose of Reflection?Skill/Topic: Advanced | For Reading metadata at runtime
Is it possible edit data in a repeater controlSkill/Topic: Advanced | No
Why is Global.asax is used for ?Skill/Topic: Advanced | To implement application & Session level events
What is a diffgram ?Skill/Topic: Advanced | The one which renders the dataset object contents to XML
What is the lifespan for items stored in viewstateSkill/Topic: Advanced | Exists for the Life of the current page
What data types do a Rangevalidator supportsSkill/Topic: Advanced | All of the above
Select the output of the statement < form method=post action=”test.aspx” > Skill/Topic: Advanced | Transfers all the form data to test.aspx with HTTP headers
What is the out put of the following codebyte a=200;byte b=100;byte c=a+b;Response.Write ( C );Skill/Topic: Advanced | Compile Time error
What is the out put of Following codeString a=”Hello”;String b=”World”String c= a+bResponse.Write ( “C “);Skill/Topic: Advanced | C
Whats the significance of Request.MapPath( )Skill/Topic: Advanced | Maps the specified virtual path to a physical path
Which of the following are not a member of Server ObjectSkill/Topic: Advanced | Open
What is the significance of Server .MapPathSkill/Topic: Advanced | Returns the physical file path that corresponds to virtual specified path
What is the Server.MachineName doesSkill/Topic: Advanced | Gets the Server’s Machine Name
Whats is the significance of Response.ClearHeaders( )Skill/Topic: Advanced | Clears all Headers from the buffer stream
What is the significance of Response.AddHeaders( )Skill/Topic: Advanced | Adds HTTP Headers to output stream
What is the difference between HTTP handlers & HTTP modulesSkill/Topic: Advanced | Httphandler is an class and Httpmodule is an assembly
Which namespace allows us to formauthentication ?Skill/Topic: Advanced | System.Web.Security
Which method displays the custom controlSkill/Topic: Advanced | Render
When is the user controls code is executedSkill/Topic: Advanced | After the webform loads
Client Sertificate is a collection ofSkill/Topic: Advanced |  Request
What section of the config.Web file is used for storing a list of authorized users?Skill/Topic: Advanced |  4
What version of the javascript should be used for client side scriptSkill/Topic: Advanced | 2.0
How do you add ASP.Net 3rd party componentSkill/Topic: Advanced | Add reference of dll file and place the code where ever required




























you are required to build an application that can serialize an object to a file. Then, this file can be transferred to another program written in java and running in Linux operating system to be de-serialized. Which of the following classes is the best choice for the above task? | SoapFormatter
Which of the following can be defined as generic? | All of the others
What is output of this code? Static void Main(){ int number1 = 3; int number2 = 2; float number3 = number1/number2;... | 1
What are NOT Web Server controls? | HTML controls
String cnnString = @"Data Source=localhost\SQLExpress;Initial Catalog=Northwind;Integrated Security=True"; (Assume that connection string and table name is correct.) | Total rows of Products table
How do we implement encapsulation by C#? | Define named properties.
Which of the following associations of try, catch and finally is INVALID? | catch{}finally{}
What is output of this code? string s1 ="Visual C# And .NET Technology"; string s2 = s1.Substring(0, s1.IndexOf('#')); System.Console.WriteLine(s2.ToUpper()); | VISUAL C
... is an object in which the data retrieved from the database can be stored. | DataSet
What kind of memory where an object is allocated? | Managed heap
To help optimize the garbage collection process, each object in the heap is assigned to a specific generation. If an object is marked as Generation 0, it means: | That object is a newly allocated object and has never been marked for collection.
What is output when request the page that contains the code bellow? protected void Page_Load(object sender, EventArgs e){ Response.Write("<h1>Hello world!</h1>"); } | Hello world!
Which sentence about thread pool is correct? | The thread pool manages threads effciently by minimizing the number of threads that must be created, started, and stopped.
given the following code segment, what is the output? string s ="Hello"; string r; r = s; r+="World!"; System.Console.WriteLine(s); | Hello
What is output of the following code? using System; interface Animal .... | Mammal
Which sentence is correct? | An abstract class is a class that cannot be instantiated.
Which sentence about BufferedStream is correct? | BufferedStream provides temporary storage for a stream of bytes that may be committed to storage at a later time.
What is output of this code? interface Class1 { public void SayHello(string yourName); } class Class2:Class1 public override void SayHello(string yourName); | Compile error
Which of following extension does a Web service file will have? | asmx
Which sentence about namespace is correct? | Classes from many namespaces can reside in one assembly.
Does C# support multi inherritance?(Choose the most correct answer) | Yes, but only for inheritance from many interfaces.
Which kind of threads is automatically killed when the application domain unloads? | Background threads
String cnnString = @"Data Source=localhost\SQLExpress;Initial Catalog=Northwind;Integrated Security=True"; System.Data.SqlClient.SqlConnection cn = new System.Data.SqlClient.SqlConnection(cnnString); | True
class Class1 { internal string field1; } Class Program { Class1 obj1 = new Class1(); | defabc
What is utility allows you to view the set of all content files and referenced assemblies? | Solution Explorer
What is term for conversion from an object to a value type? | Unboxing
the ... object allows us to retrieve & manipulate data in the database. | Connection
In Windows Form application, which control is used to display text when the mouse points to a particular control? | ToolTip
Web service technology is based on what? | XML and SOAP
Why the data is not inserted using the following code? SqlCommand insertConmmand = new SqlCommand(); insertCommand.CommandType = CommandType.Text; | Don't have integrated connection for the command object.
Which property of Form allows to set the button on the Form that is clicked when user press the Enter key? | AcceptButton
In ASP.NET application, and _____ variables can be accessed by all the pages in the application. | Global, Session
using System; class Program Console.WriteLine("catch"); Console.WriteLine("finally"); | catch finally
Which property of TextBox control in Windows Forms application is used to create password input box? | PasswordChar
What is utility shows all of the types in your current project from an object-oriented perspective? | Object Browser.
What is the result of the following code? SqlConnection conn = new SqlConnection(); conn.ConnectionString = CONNECTION_STRING; | The DataAdapter will create 3 data tables in the dataset.
An object that supports the ____ interface stores state information for an asynchronous operation, and provides a synchronization object to allow threads to be signaled when the operation completes. | IAsyncResult
For using SQL.NET Data Provider what using statement of the following is correct? | using System.Data.SqlClient;
Console.WriteLine(o1.ToString()); | 1
The type of event declaration must be of ... type. | Delegate
Which property of the Exception class specifiles textual information that indicates the reason for the error and provides possible resolutions? | Message
In Windows Form application,. which property is used to get or set the edges of the control is anchored to the edges of its container? | Anchor
What is the property of ASP.NET DropDownList control can make change events cause a postback? | AutoPostBack
What are formatters you can choose when serialization an object? | BinaryFormater, SoapFormater and XMLSerializer.
Which sentence about shared assemblies is correct? | Shared assemblies are deployed to GAC.
Which sentence about.NET assemblies is correct? | .NET assemblies are versioning, self-describing and configurable.
Given the following code segment, what will the value returned from the method be? public int ViktorMove() | 504
How do you explicitly kill a user's session? | Session.Abandon()
Determine the output of the following code segment System.Console.Writeline("The value of x/y is: {0}".z); | Compile error!
What is the first step to define an event? | Define a delegate that contains the method to be called when the event is fired.
What are enumerations? | Enumerations are a handy programming construct that allows to group name/value pairs.
The ___ control is used to display text when the mouse points to a particular control | ToolTip
How can we define an overridden base method? | Use virtual keyword.
What is unboxing? | Unboxing is conversion from a value type to an object.
How do we implement encapsulation by C#? | Define named properties.
public static int Method42(int i) | delegate int Class1.Method42(int i);
Item stored in ViewState exist for the life of the current page? | False
ADO.NET supports multiple data provides, each of which is optimized to interact with a specific DBMSs. | True
System.Data.SqlClient.SqlCommand cmd = cn.CreateCommand(); string query = "Select * From Customers"; | -1
The ... object allows us to rertrieve & manipulate data in the database. | Command
System.Data.SqlClient.SqlConnection cn = new System.Data.SqlClient.SqlConnection(); | Nothing
A C# class can be inherited from multi interfaces? | No
You need to get access to an Microsoft Excel 2003 file. Which data adapter would you see? | OleDdDataAdapter
Do we have to set value for a variable before using? | No
Which sentence about private assemblies is correct? | Private assemblies reside in the same directory of application making use of them.
It is possible to check whether an .aspx page is posted back to the server with the help of the ... property of the page. | IsPostBack
____ property is used to get or set the edges of the control are anchored to the edges of its container. | Anchor
Choose 2- correct statements about server-side and Client-side codes? | Client side code is executed on the browser. Server side code is executed at the server side on IIS in ASP.NET framework.
How do we create a new text file? (choose 2) | Use StreamWriter class. Use CreateText() method of FileInfo class.
Which of following extension does a Web service file will have? | Asmx
... variable can be accessed by all the pages in the application. (Choose 2) | Session Application
What is protected access modifier? | Marks a member as accessible only by the class or any derived classes.
Why the data is not inserted using the following code? | The "Insert" query is wrong.
What are formatters you can choose when serialization an object? | BinaryFormater, SoapFormater and XMLSerializer.
Select the output of the statement <form method = "post" action = "test.aspx" | Transfers all the form data to test.aspx with HTTP headers.
Can we use methods that have some arguments for a delegate? | Yes
What are properties of [WebMethod] attribute? | Description, MessageName and EnableSession.
Web service technology is based on what? (choose 2) | XML SOAP
class Mammal : Animal public string Name { get; set; } | No errors, but there is 1 warning.
Which sentence about namespace is correct? | Classes from many namespaces can reside in one assembly.
_____ control combines the features of the TextBox and the ListBox controls | ComboBox
Name two properties common in every validation control? | Color property ControlToValidate property
Determine the output of the following code segment: int x = 2009; int y = 2010; System.Console.WriteLine("The value of x & y is : {0}", (x&y)); | 2008
What are responsibilities of CLR? | Loading the type into memory and compiling CIL into platform-specific instruction.
List<int> array1 = new List<int>(); foreach (int n in array1) System.Console.WriteLine(array1.ToString()); | Nothing
The ... method of the ... object is used to redirect the user to another page. | Redirect, Response
How can we check that some changes have been made to a DataTable since it was loaded? | We can use the property IsChanged to check whether a datatable is changed or not
Which sentence about foreground threads is correct? | Foreground threads have the ability to prevent the current application from terminating.
The method____of the Control class conceals the control from the user. | Visible
Which sentence about Application Domain is correct? | The CLR is able to load and unload a formal process much quicker than Application Domains.
Which one of the following namespaces contains the definition for IdbConnection ? | System.Data
Select the Interface which provides Fast, connected forward-only access to data | IdataReader
How do we Delete, Update, Select data in a Dataset ? | Using SQLDataAdapter
Which of the following is not a member of ConnectionObject ? | Open
Is it Possible to Serialize HashTable with XMLSerializer | Yes
What is the Full Form of WSDL ? | Web Service Description Language
What is the difference between Server.Transfer & Response.Redirect ? | Response.Redirect needs roundtrip, Server.Transfer does not
Which Language can Support SOAP ? | All of the above
What is the size of the session ID ? | 32 bit long string
Which of the following extension does a webservice file will have ? | .Asmx
What is a strong name? | Combination Of both Public,Private key and digital signature
What is the purpose of Reflection? | For Reading metadata at runtime
Is it possible edit data in a repeater control | No
Why is Global.asax is used for ? | To implement application & Session level events
What is a diffgram ? | The one which renders the dataset object contents to XML
What is the lifespan for items stored in viewstate ? | Exists for the Life of the current page
What data types do a Rangevalidator supports? | All of the above
Select the output of the statement < form method=post action="test.aspx" > | Transfers all the form data to test.aspx with HTTP headers
What is the out put of the following code : byte a=200; byte b=100; byte c=a+b; Response.Write ( C ); | 300
What is the out put of Following code : String a="Hello"; String b="World" ; String c= a+b ; Response.Write ( "C"); | C
Whats the significance of Request.MapPath( ) ? | Maps the specified virtual path to a physical path
Which of the following are not a member of Server Object ? | Open
What is the significance of Server .MapPath ? | Returns the physical file path that corresponds to virtual specified path
What is the Server.MachineName does ? | Gets the Server's Machine Name
Whats is the significance of Response.ClearHeaders( ) ? | Clears all Headers from the buffer stream
What is the significance of Response.AddHeaders( ) ? | Adds HTTP Headers to output stream
What is the difference between HTTP handlers & HTTP modules ? | Httphandler is an class and Httpmodule is an assembly
Which namespace allows us to formauthentication ? | System.Web.Security
Which method displays the custom control ? | Render
When is the user controls code is executed ? | After the webform loads
The interface used by ASP.Net to create Unique Id's? | System.UI.Naming.Container
Which property of the session object is used to set the local identifier ? | LCID
Select the caching type supported by ASP.Net | Both Output Caching and DataCaching
Where is the default Session data is stored in ASP.Net? | InProcess
How do you disable client side validation ? | Set the inherits property to codeb
Select the validation control used for "PatternMatching" | RegularExpressionValidator
How do you trace the application_End event on runtime? | Can not be done
Who can access Session state variables ? | A Single session
Select the type Processing model that asp.net simulate | Event-driven
Does the "EnableViewState" allows the page to save the users input on a form? | Yes
Web Controls Supports CSS | True
Session Object classes are defined in which of the following namespace? | System.Web.SessionState
Which DLL translate XML to SQL in IIS ? | SQLISAPI.dll
What is the default authentication mode for IIS ? | Anonymous
Which of the following is not a valid state management tool? | Cookies
What is the maximum number of cookies that can be allowed to a web site ? | 20
Select the control which does not have any visible interface | Repeater
How do you explicitly kill a user's session ? | Session.Abandon
Why do we use XMLSerializer class ? | WebServices
What does Response.End will do? | It will stop the server process
Which control supports paging ? | Datagrid
Where do you store the information about the user locale ? | System.Web.UI.Page.Culture
What is the purpose of code behind ? | To separate HTML Layout and code to different file
What is a satallite assembly ? | An Assembly containing localized resources for another assembly
Which of the following is not a member of Response Object? | Execute
Which of the following is not a member of ADODBCommand object ? | Open
Which method do you invoke on the DataAdapter control to load your generated dataset with data? | Fill
How to open more than one datareader at a time ? | Use different datareader and connection variable
What is the advantage of Disconnected mode of ADO.Net in ASP.Net ? | User data can update and retrieve in dataset and when connection connected, update values with server
Which objects is used to create foreign key between tables? | DataRelation
Which of the following languages can be used to write server side scripting in ASP.NET? | C#
The Following are the minimum requirement to run Asp.net pages? | Common Language Runtime
When a .aspx page is requested from the web server, the out put will be rendered to browser in following format. | HTML
What executable unit gets created when we build an ASP.Net application? | . DLL
The best way to delimit ASP.Net code from HTML code in your pages is by using --------------- tags. | < Script >
The code will be processed on web server when the runat attribute of the < Script > tag has the following value. | Server
The Asp.net server control, which provides an alternative way of displaying text on web page, is | < asp:label >
<asp:dropdownlist> tag replaces which of the HTML tags | < Select >
The first event to be triggered in an aspx page is | Page_Init()
Postback occurs in which of the following forms | Webforms
What namespace does the Web page belong in the .NET Framework class hierarchy? | System.web.UI.Page
Which method do you invoke on the Data Adapter control to load your generated dataset? | Fill ( )
How many configuration files can an ASP.NET projects have? | One
How do you register a user control? | Add Src, Tagprefix, Tagname
Which of the following is true ? | Custom controls are displayed correctly in VS.Net Designer
Can a dll run as stand alone application ? | No
To add a custom control to a Web form we have to register with | All of the above
Custom Controls are derived from which of the classes | System.Web.UI.Customcontrols.Webcontrol
A web application running on multiple servers is called as | Website
What is the transport protocol used to call a webservice? | SOAP
How ASP.Net Different from ASP? | Scripting is separated from the HTML, Code is compiled as a DLL, the DLLs can be executed on server
What's the difference between Response.Write() and Response.Output.Write()? | Response.Output.Write() allows you to write formatted output
Why is Global.asax is used ? | Implement application and session level events
There can be more than 1 machine.config file in a system? | True
What is the extension of a web user control file ? | .Ascx
What is the default session time out? | 20 Min
Which of the following is true ? | IsPostBack is a readonly property of System.Web.UI.Page class
It is possible to set Maximum length for a text box through code. | True
The number of forms that can be added to a aspx page is | 1
How do you manage states in asp.net application? | All of the above
Which of the following languages can be used to write server side scripting in ASP.NET? | C#
The Following are the minimum requirement to run Asp.net pages? | Common Language Runtime
When a .aspx page is requested from the web server, the out put will be rendered to browser in following format. | HTML
What executable unit gets created when we build an ASP.Net application? | . DLL
The best way to delimit ASP.Net code from HTML code in your pages is by using ---- tags. | < Script >
The code will be processed on web server when the runat attribute of the < Script > tag has the following value. | Server
The Asp.net server control, which provides an alternative way of displaying text on web page, is | < asp:label >
<asp:dropdownlist> tag replaces which of the HTML tags | < Select >
The first event to be triggered in an aspx page is | Page_Init()
Postback occurs in which of the following forms | Webforms
What namespace does the Web page belong in the .NET Framework class hierarchy? | System.web.UI.Page
Which method do you invoke on the Data Adapter control to load your generated dataset? | Fill ( )
How many configuration files can an ASP.NET projects have? | One
How do you register a user control? | Add Src, Tagprefix, Tagname
Which of the following is true ? | Custom controls are displayed correctly in VS.Net Designer
Can a dll run as stand alone application ? | No
To add a custom control to a Web form we have to register with | All of the above
Custom Controls are derived from which of the classes | System.Web.UI.Customcontrols.Webcontrol
A web application running on multiple servers is called as | Website
What is the transport protocol used to call a webservice? | SOAP
How ASP.Net Different from ASP? | Scripting is separated from the HTML, Code is compiled as a DLL, the DLLs can be executed on server
What's the difference between Response.Write() and Response.Output.Write()? | Response.Output.Write() allows you to write formatted output
Why is Global.asax is used ? | Implement application and session level events
There can be more than 1 machine.config file in a system? | True
What is the extension of a web user control file ? | . Ascx
Which of the following is true ? | IsPostBack is a readonly property of System.Web.UI.Page class
It is possible to set Maximum length for a text box through code. | True
The number of forms that can be added to a aspx page is | 1
How do you manage states in asp.net application? | All of the above
1.	Which of the following languages can be used to write server side scripting in ASP.NET? | Both A and C
2.	The Following are the minimum requirement to run Asp.net | Common Language Runtime
3.	When a .aspx page is requested from the web server, the out put will be rendered to browser in following format. | HTML
4.	What executable unit gets created when we build an ASP.Net application? | . DLL
5.	The best way to delimit ASP.Net code from HTML code in your pages is by using --------------- tags. | < Script >
6.	The code will be processed on web server when the runat attribute of the < Script > tag has the following value. | Server
7.	The Asp.net server control, which provides an alternative way of displaying text on web page, is | < asp:label >
8.	asp:dropdownlist> tag replaces which of the HTML tags | < Select >
9.	The first event to be triggered in an aspx page is | Page_Init()
10.	Postback occurs in which of the following forms | Webforms
11.	what namespace does the Web page belong in the .NET Framework class hierarchy? | System.web.UI.Page
12.	Which method do you invoke on the Data Adapter control to load your generated dataset | Fill ( )
13.	How many configuration files can an ASP.NET projects have? | One
14.	How do you register a user control? | Add Src, Tagprefix, Tagname
15.	How do you post the current page to a different aspx page ? | FORM ACTION="actiopage.aspx" RUNAT="server" method="post"
16.	Which of these namespaces used for FileAccess | System.IO
17.	Which of the following is true ? | Custom controls are displayed correctly in VS.Net Designer
18.	Can a dll run as stand alone application ? | No
19.	To add a custom control to a Web form we have to register with | All of the above
20.	Custom Controls are derived from which of the classes | System.Web.UI.Customcontrols.Webcontrol
21.	A web application running on multiple servers is called as | Webfarm
22.	What is the transport protocol used to call a webservice | SOAP
23.	How ASP.Net Different from ASP | Scripting is separated from the HTML, Code is compiled as a DLL, the DLLs can be executed on server
24.	What’s the difference between Response.Write() andResponse.Output.Write()? | Response.Output.Write() allows you to write formatted output
25.	Why is Global.asax is used | Implement application and session level events
26.	There can be more than 1 machine.config file in a system | True
27.	What is the extension of a web user control file ? | . Ascx
28.	What is the default session out time | 20 Min
29.	Which of the following is true ? | IsPostBack is a readonly property of System.Web.UI.Page class
30.	It is possible to set Maximum length for a text box through code | True
31.	The number of forms that can be added to a aspx page is | 1
32.	How do you manage states in asp.net application | All of the above
33.	what is the difference between user control and custom control | One Custom Control can be use in different project but not the same with User control
34.	The interface used by ASP.Net to create Unique Id’s? | System.UI.Naming.Container
35.	Which property of the session object is used to set the local identifier ? | LCID
36.	Select the caching type supported by ASP.Net | Both a & b
37.	Where is the default Session data is stored in ASP.Net | InProcess
38.	How do you disable client side validation ? | Set the inherits property to codeb
39.	Select the validation control used for “PatternMatching” | RegularExpressionValidator
40.	How do you trace the application_End event on runtime? | Can not be done
41.	How do you turn off the Session state for a webform ? | In Web.config file set the tag to false
42.	Who can access Session state variables | A Single session
43.	Select the type Processing model that asp.net simulate | Event-driven
44.	Does the “EnableViewState” allows the page to save the users input on a form | Yes
45.	Web Controls Supports CSS | True
46.	Session Object classes are defined in which of the following namespace? | System.Web.SessionState
47.	Which DLL translate XML to SQL in IIS | SQLISAPI.dll
48.	What is the default authentication mode for IIS | Anonymous
49.	Which of the following is not a valid state management tool? | Querystate
50.	What is the maximum number of cookies that can be allowed to a web site | 20
51.	Select the control which does not have any visible interface | Repeater 
52.	How do you explicitly kill a user’s session ? | Session.Abandon
53.	Why do we use XMLSerializer class | WebServices
54.	What does Response.End will do? | It will stop the server process
55.	Which control supports paging | Datagrid
56.	Where do you store the information about the user locale | System.Web.UI.Page.Culture
57.	What is the purpose of code behind ? | To separate HTML Layout and code to different file
58.	What is a satallite assembly ? | An Assembly containing localized resources for another assembly
59.	Which of the following is not a member of Response Object? | Execute
60.	The object used by SQL connection to make Security Demands | SQLPermission
61.	Which of the following is not a member of ADODBCommand object | Open
62.	Which method do you invoke on the DataAdapter control to load your generated dataset with data? | Fill
63.	How to open more than one datareader at a time | Use different datareader and connection variable
64.	What is the advantage of Disconnected mode of ADO.Net in ASP.Net | user data can update and retrieve in dataset and when connection connected, update values with server
65.	Which objects is used to create foreign key between tables? | DataRelation
66.	Which one of the following namespaces contains the definition for IdbConnection | System.Data
67.	Select the Interface which provides Fast, connected forward-only access to data | IdataReader
68.	How do we Delete, Update, Select data in a Dataset | Using SQLDataAdapter
69.	Which of the following is not a member of ConnectionObject | Execute
70.	Is it Possible to Serialize HashTable with XMLSerializer | Yes
71.	What is the Full Form of WSDL | Web Service Description Language
72.	What is the difference between Server.Transfer & Response.Redirect | Response.Redirect needs roundtrip, Server.Transfer does not
73.	Which Language can Support SOAP | All of the above
74.	What is the size of the session ID | 32 bit long string
75.	Which of the following extension does a webservice file will have | .Asmx
76.	What is a strong name? | Combination Of both Public,Private key and digital signature
77.	What is the purpose of Reflection? | For Reading metadata at runtime
78.	Is it possible edit data in a repeater control | No
79.	Why is Global.asax is used for ? | To implement application & Session level events
80.	What is a diffgram ? | The one which renders the dataset object contents to XML
81.	What is the lifespan for items stored in viewstate | Exists for the Life of the current page
82.	What data types do a Rangevalidator supports | All of the above
83.	Select the output of the statement < form method=post action=”test.aspx” > | Transfers all the form data to test.aspx with HTTP headers
84.	What is the out put of the following codebyte a=200;byte b=100;byte c=a+b;Response.Write ( C ); | Compile Time error
85.	What is the out put of Following codeString a=”Hello”;String b=”World”String c= a+bResponse.Write ( “C “); | C
86.	Whats the significance of Request.MapPath( ) | Maps the specified virtual path to a physical path
87.	Which of the following are not a member of Server Object | Open
88.	What is the significance of Server .MapPath | Returns the physical file path that corresponds to virtual specified path
89.	What is the Server.MachineName does | Gets the Server’s Machine Name
90.	Whats is the significance of Response.ClearHeaders( ) | Clears all Headers from the buffer stream
91.	What is the significance of Response.AddHeaders( ) | Adds HTTP Headers to output stream
92.	What is the difference between HTTP handlers & HTTP modules | Httphandler is an class and Httpmodule is an assembly
93.	Which namespace allows us to formauthentication ? | System.Web.Security
94.	Which method displays the custom control | Render
95.	When is the user controls code is executed | After the webform loads
96.	Client Sertificate is a collection of | Request
97.	What section of the config.Web file is used for storing a list of authorized users? | 4
98.	What version of the javascript should be used for client side script | 2.0
99.	How do you add ASP.Net 3rd party component | Add reference of dll file and place the code where ever required























is any action directed at the application | Event
property is used to get or set the object that contains data about the control. | Value
 with respect to Data Grid control are True |Each Field , The DataGrid
When an MDI parent form is closed, the Closing event of all MDI child | true
What of the followings is correct for creating a command object with the connection con | Select * From Student”, con
it the normal ouput type for a WinForm project | Windows Application
To preserve screen space on the monitor, VS.NET provides us with | Command, Solution, Auto-Hide,Properties
The ____control groups a set of controls within a non-labeled an scrollable frame | Panel
The ____feature of Windows Installer provider a standard method for distributing components | Merge Modules
To create an instance of the Font class using existing Font and FontStyle, the constructor is | public Font(string fontname, float size
Which control is used to display a short, customized help message for individual | ToolTip
For using SQL.NET Data Provider what using statement of the following is correct | using System.Data.SqlClient;
