#cost performance baseline is an output of | determine budget
#Cost Variance (CV) | Earned Value (EV) - Actual Cost (AC)
#Which of followings can be used to perform trend analysis to forecast future outcomes based on historical patterns ? | run chart
#Budget forecast and work performance measurement are an output of | control costs
#All of the following are important tools and techniques for developing project  schedule, except | progress reports
#Which of the following is a line chart that show data points plotted in the order in which they occur | run chart
#Which tool or technique for collecting requirements is often the most expensive and time consuming
#According to Luc Richard, the founder of www.projectmangler.com, five points of using project milestones include the following, except | Keep project milestones to be medium/large and nearly frequent
#Work performance measurements are output of | Estimating activities resources

Which of the following is a task at the lowest level of the WBS | A work package
Which of the following items is not an objective of integrated change control?|Make sure that project get more money from customer
Chapter 1
Approximately what percentage pf the world's gross domestic product is spent on project? | 25%
Which of the following is a not a potential advantage of using good project management? | Lower cost of capital
A _____ is temporary endeavor undertaken to create a unique product, service, or result. | Project
Which of the following is not an attribute of a project? | project involve little uncertainly
Which of the following is not part of the triple constraint of project management? | meeting communication goals
____ is the application of knowledge, skills, tools and techniques to project activities to meet project requirements. | Project management
Project portfolio management address ____ goals of an organization, while project management addresses ____ goals. | strategic, tactical
Several application development projects done for the same functional group might best be managed as part of a _____. | program
Which of the following is not one of the top ten skills or competencies of an effective project manager? | technical skills
What is the certification program called that the Project Management Institute provides? | Project Management Professional (PMP)
Chapter 2
Which of the following is not part of the three-sphere model for systems management? | information
Which of the four frames of organizations addresses how meeting are run, employee dress codes, and expected work hours? | symbolic
Personnel in a ____ organizational structure often report to two or more bosses. | matrix
Project work is most successful in an organizational culture where all of the following characteristics are high except _____. | control
A _____ is a product or service, such as a technical report, a training session, or hardware, produced or provided as part of a project. | deliverable
Which of the following is not a phase of the traditional project life cycle? | system analysis
What the term used to describe a framework of the phases involved in developing information systems? | systems development life cycle
Another name for a phase exit is a ____ point. | kill
The nature of information technology projects is different from projects in many other industries because they are very ____ | diverse
What term is used to describe when an organization acquires goods and/or sources from an outside source in another country? | offshoring
Chapter 3
A ____ is a series of actions directed toward a particular result. | project
______ processes include coordinating people and other resources to carry out the project plans and produce the products, services, or results of the project or phase | executing
Which process group normally requires the most resources and time? | executing
What methodology was developed in the U.K., defines 45 separate subprocesses, and organizes these into eight process groups? | PRINCE2
Which of the following outputs is often completed before initiating a project? | business case
A work breakdown structure, project schedule, and cost estimates are outputs of the _____ process. | planning
Initiating involves developing a project charter, which is part of the project ______ management knowledge area. | integration
______ involves measuring progress toward project objectives and taking corrective actions | Monitoring and controlling
What type of report do project teams create to reflect on what went right and what went wrong with the project? | lessons-learned report
Many people use ____ to have a standard format for preparing various project management documents. | templates
Chapter 4
Which of the following processes is not part of project integration management? | develop the project business case
What is the last step in the four-stage planning process for selecting information technology projects? |  resource allocation
Which of the following is not a best practice for new product development projects? | select projects that will take less than two years to provide payback
A new government law requires an organization to report data in a new way. Under which category would a new information system project to provide this data fall | directive
If estimates for total discounted benefits for a project are $120,000 and total discounted costs are $100,000, what is the estimated return on investment (ROI)? | 20 percent
A _________ is a document that formally recognizes the existence of a project and provides direction on the project’s objectives and management | project charter
Which of the following items is not normally included in a project charter? | a Gantt chart
_______ ensures that the descriptions of the project’s products are correct and complete. | configuration management
Which of the following is not a suggestion for performing integrated change control? | minimize change
What tool and technique is used for all of the other project integration management processes? | expert judgment

#1 Four project managers are having lunch together and discussing their projects. Most of the time they are just complaining about how hard projects are to manage in their company | Improved project manager control over resources 
#2 Two project managers have just realized that they are in a weak matrix organization and that their power as project managers is quite limited. | The project expediter cannot make decisions
#3 In a projectized organization the project team: | will not always have a “home”
#4 A project manager is trying to complete a software development project, but cannot get enough attention for the project. | Functional
#5 A project manager has very little project expenditure, but he has been assigned as the project manager of a new project | Open and accurate
#6 A project team member is talking to another team member and complaining that so many people are asking him to do things | The functional manager
#7 Who has the MOST power in a projectized organization? | The project manager
#8 All of the following are characteristics of a project EXCEPT: | Repeats itself every month 
#9 All of the following are parts of the team’s stakeholder management effort EXCEPT? | Giving stakeholder’s extras
#10 A manager and the head of engineering discuss a charge to a major work package. after the meeting, the manager contacts you and tells you to complete the papers work to make the change. | a project expediter position
#11 The project is in the planning process group when three stakeholders come to the Project manager asking for information on the companys new project management Methodology | Notify the project management office
#12 A project manager is managing his second project. It started one month after the First and both are ongoing. | Obtain historical records and guidance from the PMO
#13 The project has going well, except for the number of changes being made. The Project is being installed in to seven different departments within the company | The project should have used more of the project management Processes
#14 The project life cycle differs from the product life cycle in that the project life Cycle: | Describes project management activities.
#15 Stakeholders can be identified in which project management process group? | Initiating and planning
#16 Management by objectives works only if: | the project includes the objectives in the project charter.
#17 Your management has decided that all orders will be treated as “project” and that project managers will be used to update orders daily, resolving issues and | Order incurring revenue over $100,000 would be considered project and would involve project management
#18 One of your team members informs you that he does not know which of the many projects he is working on is the most important. | The project management office
#19 A project team is working on manufacturing a new product, but they are having difficulty creating a project charter. | They are working on a process and not a project
#20 A market demand, a business need, and/or legal requirement are examples of: | Reasons projects are initiated
#21 Operational work is different from project work in that it is: | On-going and repetitive
#22 Company procedures require the creation of a lessons learned document.Which of the following is the BEST use of lessons learned? | Historical records for future projects
#23 Lessons learned are BEST completed by: | The stakeholders
#24 Consideration of ongoing operations and maintenance is crucially important to products of projects. Ongoing operations and maintenance should: | Not be viewed as part of a project. A project is temporary with a definite beginning and end
#25 What is a program? | A means to gain benefits and control of related projects
#26 A company is making an effort to improve its project performance and create historical records of past projects. | Create lessons learned
#27 Project Stakeholder are: | Anybody who is actively working on the project
#28 An example of a project is: | Constructing a building or facility
#29 Company procedures require the creation of a lessons learned document. | Historical records for future projects
#30 Consideration of ongoing operations and maintenance is crucially important to | Not be viewed as part of a project. A project is temporary with a definite beginning and end.
#31 One of your team members informs you that he does not know which of the | The project management office
#32 All of the following are part of the team's stakeholder management effort | Giving stakeholders extras
#33 Direct and manage project executing belongs to the ......PM Process Group. | Executing
#34 Scope definition is important to the success of the project EXCEPT: | It serves as the basis for future project decisions.
#35 Which of the following can be used to determine what work is included in | Work Breakdown Structure Dictionary
#36 All of the following occur during the planning process group EXCEPT: | Develop project Charter.
#37 All of the following are outputs of the close project process EXCEPT: | Deliverables
#38 A detailed project schedule can be created only after creating the | Work breakdown structure
#39 Control project schedule belongs to the ________ PM Process Group. | Monitoring and Controlling
#40 Which of the following is not a best practice for new product development | selectprojects that will take less than two years to provide payback
#41 A new government law requires an organization to report data in a new way. | Directive
#42 Which of the following describe the BEST use of historical records from | Estimating, risk management, and project planning
#43 An output of the Close Project or Phase process is the creation of | Project archives
#44 Which of the following is not a sugge control? | minimizechange
#45 What approach to developing a WBS involves writing down or drawing ideas | mindmapping
#46 What major restaurant chain terminated a large project after spending $170 millions on it | McDonald's
#47 All of the following are outputs of the scope definition process EXCEPT: | Preliminary project scope statement
#48 The construction phase of a new software product is near completion. The next phases are testing and implementation. The project is two weeks ahead of schedule. | Verify scope
#49 During a project team meeting, a team member suggests an enhancement to the scope that is beyond the scope of project charter. | Scope management
#50 Senior management is complaining that they are not able to easily determine the status of ongoing projects in the organization. | Milestone reports
#51 You are the project manager for the LLL Project. Steven, a project team member, is confused about network diagrams. Specifically, he wants to know what the critical path is in a network diagram. | The critical path is the path with the longest duration
#52 What is the duration of a milestone? | There is no duration
#53 If the optimistic time estimate for an activity is 8 days, most likely time is 10 days, and pessimistic time is 24 days. What is PERT | 12
#54 You are the project manager for the MNB Project. You and your project team are about to enter into the activity duration estimating process. | The project contract
#55 A Cost Performance Index (CPI) of 0.89 means ___ At this time, we expect the total project to cost at 89 percent more than planned. | The project is only getting 89 cents out of every dollar invested.
#56 Which of the following represent the portion of the approved total cost estimate planned to be spenton an activity during a given period? | Planned value (PV)
#57 The main focus of life cycle costing is to ____ | Consider operations and maintenance costs in making project decisions.
#58 The project manager is allocating overall cost estimate to individual activities to establish a baseline for measuring project performance. What process is this? | Determine Budget
#59 Which of the following formulas is used to calculate the SPI (Schedule performance index)? | EV/PV
#60 What percentage of the total distribution is 1 sigma from the mean equal to? | 68.29%
#61 Which of the following methods is used to provide a standard to measure performance? | Benchmarking
#62 Which of the following statements are FALSE regarding quality audits? | Quality audits are generally performed after scope verification, but can also be
#63 Pareto charts help project manager _____ | Focus on most critical issues to improve quality.
#64 Quality is ___ | The degree to which the project meets requirements
#65 As the project manager, you are preparing your methods for quality management. You are looking for a method that can demonstrate the relationship between events and their resulting effects. | Ishikawa diagram
#66 During the first half of the project, five team member left for other projects without being replaced, two team members went on vacation without informing you, and other team members expressed uncertainty about the work they were complete. | Staffing management plan.
#67 According to Maslow's hierarchy of needs in which does the need for | Social needs
#68 Which of the following describes the theory Z style of management? | Theory Z is based on the Japanese approach to motivating workers, emphasizing trust, quality, collective decision making, and cultural values
#69 _____ isgetting people to do things based on a position of authority. | Legitimate power
#70 Who of the following are ALWAYS stakeholders? | An assembly line worker that will use the product of the project
#71 A particular stakeholder has a reputation for making changes on projects. What is the BEST approach Get the stakeholder involved in the project as early as possible.
#72 Which of the following are NOT the direct results of managing the project team? | Negotiating staff assignments
#73 Which of the following best describes a directly face a conflict using a problem-solving conflict resolution technique? | Confrontation
#74 Formal written correspondence with the customer is required when ___ | The customer requests additional work not covered under contract
#75 Which is the one not included in the features of a project? | Fixed operation
# Which is the correct explanation of Scope? | The sum of the products and services created as a project
# Which is not an advantage of project management? | Improve developer's skill
# Which strategic technology considers in efficient using of computer resources, social responsibility, and environmental impact? | Green IT
# Which is not a project attribute? | A project should have only one project manager and one technical leader
# Which is the correct explanation of a Stakeholder? | Individual or organization influenced by the project
# What is the process of gradual, step-wise reduction to details of the project products and the characteristics of new services called? | Progressive elaboration
# According to textbook, every project is constrained in different ways by its scope,...., and cost goals | Time
# Which is the most appropriate description that explains a project team member? | The group that carries out the work of the project
# Which of the following is likely to be part of an operation? | Providing electricity to a community
# The ________________ has well-defined, linear stages of system analysis, design, construction, testing, and support. | Waterfall lifecycle model
# Personnel in a _____________ organization structure often report to two or more bosses | Matrix
# In a projectized organization, the project team: | Will not always have a 'home'
# In which organization are the project manager's independence and authority weakest? | Functional organization
# The __________ deal with how the organization is structured and focuses on different groups' roles and responsibilities in order to meet the goals and policies set by top management | Structural frame
# Which of the following statements is not true? | Cultural differences will always be an obstacle to overcome.
# In... ... .... Organization structure type, project manager has "Moderate to high" authority | Strong Matrix
# In Balanced Matrix Organization Structure type, .... will control the project budget. | In Balanced Matrix Organization Structure type, .... will control the project budget. | Mixed (Functional manager and PM)
# Which of the following statements best describes the relationship between project lifecycle phases and project management processes? | Project management processes can repeat within a project lifecycle.
# The amount of authority a project manager possesses can be related to | The organization structure
# What is core of the advantages of a functional organization? | All employees report to one manager and have a clear chain of command
# Which is not a disadvantage of virtual teams? | Increasing costs because it requires office space or requires more support
# Which is the most appropriate description of the stakeholder's influence on the project life cycle? | Maximum at the start and then gradually weakens towards the end of the project.
# The ________________ has well-defined, linear stages of system analysis, design, construction, testing, and support. | Waterfall lifecycle model
# Personnel in a _____________ organization structure often report to two or more bosses | Matrix
# In a projectized organization, the project team: | Will not always have a 'home' 
# Develop project charter work belongs to the_________ PM Process Group. | Initiating
# Direct and manage project executing belongs to the ...... PM Process Group. | Executing
# Which is not a process group in project management lifecycle (as mentioned in the PMBOK)? | Feedback process group
# During project plan execution: | The project manager uses corrective action to bring future performance in line with the project plan.
# What is the last step in the four-stage planning process for selecting information technology projects? | resource allocation
# In which process group do we identify human and non-human resources required for a project? | Initiating
# _______processes include coordinating people and other resources to carry out the project plans and produce the products, services, or results of the project or phase | Monitoring and controlling
# Which of the following outputs is often completed before initiating a project? | Business case
# Which is not a task that is taken in pre-initiation phase? | Develop project charter
# Define activities and sequence activities belong to the__________PM Process Group. | Planning
# Report performance belongs to the ________ PM Process Group. | Monitoring and Controlling
# Perform quality assurance belong to the ________ PM Process Group. | Executing
# Control project schedule belongs to the ________ PM Process Group. | Monitoring and Controlling
# Which of the following processes is not part of project integration management? | develop the project business case
# What is the last step in four-stage planning processes for selecting information technology project? | resource allocation
# Which of the following items is not a step in four-stage planning processes for selecting IT project? | mind mapping
# Which of the following is not a best practice for new product development projects? | select projects that will take less than two years to provide payback
# A new government law requires an organization to report data in a new way. Under which category would a new information system project to provide this data fall? | Directive
# If estimates for total discounted benefits for a project are $130,000 and total discounted costs are $100,000, what is the estimated return on investment (ROI)? | 30 percent
# A____________ is a document that formally recognizes the existence of a project and provides direction on the project's objectives and management. | project chapter (sai:management plan)
# Which of the following items is not normally included in a project charter? | a Gant chart
# _________ ensures that the descriptions of the project's products are correct and complete. | Configuration management
# Which of the following is not a suggestion for performing integrated change control? | minimize change
# Which of the following items is not an objective of integrated change control? | Make sure that project get more money from customer
# The project schedule information section should include the following items, except for | Payment schedule
# The section of the project management plan describing management and technical approaches should include the following information, except for | Summary schedule
# Which tool or technique for collecting requirements is often the most expensive and time consuming? | interview
# A__________________ is a deliverable-oriented grouping of the work involved in a project that defined the total scope of the project | WBS
# What approach to developing a WBS involves writing down or drawing ideas in a nonlinear format? | mind mapping
# Assume you have a project with major categories called planning, analysis, design, and testing. What level of the WBS would these items fall under? | 2
# Which of the following is not a best practice that can help in avoiding scope problems on information technology project? | Don't involve too many users in scope management
# What major restaurant chain terminated a large project after spending $170 millions on it, primarily because they realized the project scope was too much to handle? | McDonald's
# Scope________ is often achieved by a customer inspection and then sign-off on key deliverables. | verification
# Which of the following is not a suggestion for improving user input? | Only have meetings as needed, not on a regular basis
# Project management software helps you develop a __________, which serves as basis for creating Gantt charts, assigning resources, and allocating costs | WBS
# The project scope statement, __________, and organizational process assets are primary inputs for creating a WBS. | Requirements documents
# ________________ refer(s) to all the project work involved in creating the products of the project and processes used to create them. | Scope
# Which of the following items is not a primary output of Create WBS process? | Project Charter
# Which of the following items is not a primary input for Scope Verification process? | Project reports
# Michael is the project manager of the 98GH Project. This project requires several members of the project team to complete a certification class for another project the week of November 2. | External dependencies
# You are the project manager for the LLL Project. Steven, a project team member, is confused about network diagrams. Specifically | The critical path is the path with the longest duration
# What is the difference between PDM and ADM? | ADM places activities on arrows; PDM places activities on nodes.
# You are the project manager for the POL Project. This project will use PERT to calculate the estimates for activity duration. For activity D, you have the following information: P=10 days, O=6 days, M=5 days. What is the result of PERT? | 6 days
# You are the project manager for the MNB Project. You and your project team are about to enter into the activity duration estimating process. Which of the following will not be helpful in your meeting? | The project contract
# Which of the following is not an output from the activity duration estimating process? | WBS
# Which of the following is not an output of activity resource estimation process? | WBS Dictionary
# Which of the following is not a primary input of activity duration estimation process? | WBS Dictionary
# You are the project manager for the 987 Project. Should this project run over schedule, it will cost your organization $35,000 per day in lost sales. With four months to completion, you realize the project is running late. You decide, with management's approval, to add more project team members to the project plan to complete the work on time. This is an example of which of the following? | Crashing
# You are the project manager for the 987 Project. Should this project run over schedule, it will cost your organization $35,000 per day in lost sales. With four months to completion, you realize the project is running late. You decide, with management's approval, to change the relationship between several of the work packages so they begin in tandem rather than sequentially. This is an example of which one of the following? | Fast tracking
# Bertha is the project manager for the HAR Project. The project is behind schedule and Bertha has elected, with management's approval, to crash the critical path. This process adds more what? | Cost
# _________ is a technique for making cost and schedule trade-offs to obtain the greatest amount of schedule compression for the least incremental cost. | Crashing
# Which is not an activity of Time management knowledge area? | Project Plan Development
# Which of the following choices indicates that a project has a burn rate of 1.5? | The AC is 100 and the EV is 150.
# Schedule variance can be determined by: | EV - PV
# Project Cost Management includes all of the following except: | Resource leveling
# Earned value is all of the following except: | Actual cost of work performed.
# During the six month update on a 1 year, $50,000 project, the analysis shows that the PV is $25,000; the EV is $20,000 and the AC is $15,000. What can be determined from these figures? | The project is behind schedule and under cost
# The inputs to Cost Budgeting includes all of the following except: | Cost baseline
# Parametric cost estimating involves: | Using rates and factors based on historical experience to estimate costs.
# How close to actual costs should a definitive budget estimate be? | -5 percent to +10 percent
# The main focus of life cycle costing is to: | Consider operations and maintenance costs in making project decisions
# Which type of cost is team training? | Direct
# __________is a project performance measurement technique that integrates scope, time, and cost data | Earned value analysis
# A rough order of magnitude estimate is made during which project management process group? | Project initiating
# A schedule performance index(SPI) of 0.76 means: | you are only progressing at 76 percent of the rate originally planned.
# During the completion of the project, a project manager wants to ensure that the quality of the end product is acceptable. The BEST way to do this is by: | checking quality levels against the standards set in the quality plan.
# The line in the middle of a control chart is called the | mean
# A project team has invited many of the project stakeholders to help them inspect quality on the project. Which of the following would NOT be an output of this activity? | Quality management plan
# All of the following are outputs of quality planning EXCEPT? | Acceptance decisions
# Who is ultimately responsible for quality management in the project? | Project manager
# A project team member comes to the project manager during project execution to tell him that they feel the project cannot meet its quality standards. The project manager calls a meeting of the affected stakeholders to work through the problem. | Quality assurance
# The process of monitoring specific project results to determine if they comply with relevant quality standards is called: | Quality Control
# _________ is the degree to which a set of inherent characteristics fulfils requirements, | Quality
# Which of the following methods is used to provide a standard to measure performance? | Benchmarking
# The purpose of a quality audit includes all of the following except: | Examines the work of the project and formally accepts the work results
# Which of the following is the cost of evaluating processes and their outputs to ensure that a project is error-free or within an accepted or rejected? | appraisal cost
# Which of the following is the cost incurred to correct an identified defect before the customer receives the product? | internal failure cost
# Which of the following is not part of project human resource management? | Resource estimating
# ___________causes people to participate in an activity for their own enjoyment. | Intrinsic motivation
# At the bottom of Maslow's pyramid or hierarchy of needs are _____ needs | Physiological
# At the top of Maslow's pyramid or hierarchy of needs are _____ needs | self- actualization
# According to McClelland's acquired needs theory, people who desire harmonious relation with other people and need to feel accepted have a high_______ need. | Affiliation
# ________ power is based on a person's individual charisma. | Referent
# A________ maps the work of a project as described in the WBS to the people responsible for performing the work. | responsibility assignment matrix
# A staffing management plan often includes a resource ___________, which is a column chart that shows the number of resources assigned to the project overtime. | Histogram
# What technique can you use to resolve resource conflicts by delaying tasks? | resource leveling
# What are five stages in Tuckman's model of team development, in chronological order? | forming, storming, norming, performing, and adjourning
# ________ is a document that describes when and how people will be added to and taken off a project team. | Staffing management plan
# _____ is getting people to do things based on a position of authority. | Legitimate power
# ____________involves using incentives to include people to do things. | Reward power
# What do many experts agree is the greatest threat to the success of any project? | a failure to communicate
# Which communication skill is most important for information technology professionals for career advancement? | speaking
# Which of the following is not a process of communication management? | Acquiring project team
# A_______ is an approach to help increase the support of stakeholders throughout the project | stakeholder management strategy
# Which of the following is not a preferred section in communication plan? | Training activities
# A_____ report describes where the project stands at a specific point time. | status
# What tool can you use to help manage stakeholders by ranking scope, time, and cost goals in order of important and provide guidelines on balancing these constraints? | issue log
# When using the ________, project managers directly face a conflict using a problem-solving approach that allows affected parties to work through their disagreements. | confrontation mode
# When using the ________, the project manager deemphasizes or avoids areas of differences and emphasizes areas of agreement. | smoothing mode
# You have two project stakeholders who do not get along at all. You know they both enjoy travelling, so you discuss great travel destinations when they are both in the room together to distract them from arguing with each other. | smoothing mode
# Which of the following is not a guideline to help improve time spent at meetings? | Invite extra people who support your project to make it run more smoothly
# A_______ report if a reflective statement documenting important things that people learned from working on the project. | lessons-learned
# When using the _________, project managers retreat or withdraw from actual or potential disagreement. This approach is also called avoiding mode. | Withdrawal mode
# Which is not a process in the Risk Management knowledge area? | Risk Design
# Contingency reserves are used to handle which type of risk? | Known unknowns
# Which of the following statements is false? | Uncertainty and risk are lowest at the start of the project and greatest at the end
# A risk response which involves reducing the impact of a risk event by reducing the probability of its occurrence is called: | Mitigation
# When should a risk be avoided? | When the risk event is unacceptable -- generally one with a very high probability of occurrence and high impact.
# An example of risk mitigation is: | Using proven technology in the development of a product to lessen the probability that the product will not work
# A risk ________ is a document that contains results of various risk management processes, often displayed in a table or spreadsheet format. | register
# Suppose there is a 20 percent chance that you will earn $10,000 and a 80 percent chance that you will lose $100,000 on a particular protect. What is the projects estimated monetary value? | -$78.000
# Which is not included in Risk Response Planning? | Enhancement
# In general, for which phase is risk and uncertainty minimum? | Final phase
# What is a risk trigger? | Indicator of the risk
# Risks are accepted when: | You develop a contingency plan to execute should the risk event occur
# The principles of risk management should be followed only for: | All kinds of project
# Which type of contract has the least amount of risk for buyer | fixed-price
# Which type of contract has the least amount of risk for seller | cost plus percentage of costs
# An item you need for a project has a daily lease cost of $200. To purchase the item, there is an investment cost of $6000 and a daily cost of $50. Calculate the number of days when the lease cost would be the same as the purchase cost. | 40
# A proposal evaluation sheet is an example of a(n) ________________ | weighted scoring model
# Your organization hired a specialist in a certain field to provide training for a short period of time. Which reason for outsourcing would this fall under? | accessing skills and technologies
# Buyers often prepare a _____________ list when selecting a seller to make this process more manageable. | short
# A unilateral contract under which the seller is paid a preset amount per unit of service is called: | A unit price contract
# If your college or university wanted to get information from potential sellers for providing a new sports stadium, what type of document would they require of the potential sellers? | Proposal
# In which project procurement management process is an RFQ often written? | planning procurements
# Which of the following contract types places the greatest risk on the seller? | Firm-fixed-price contract
# The _____________ is the point at which the contractor assumes total responsibility for each additional dollar of contract cost. | Point of Total Assumption
# ________________ is a term used to describe various procurement functions that are now done electronically | E-procurement
# How is a functional organization set up? | A functional organization is grouped by areas of specialization, e.g. accounting, marketing, and manufacturing).
# When you see the functional form of organization on the exam, think ___ | "silo"
# How is a projectized organization set up? | In a projectized organization, the entire company is organized by projects. Personnel are assigned and report to a project manager.
# A work breakdown structure numbering system allows the project staff to: | Identify the level at which individual elements are found
# The work breakdown structure can BEST be thought of as an effective aid for __ communications. | Stakeholder
# Which of the following is a KEY output of the Verify Scope process? | Customer acceptance of project deliverables 
# During project executing, a team member comes to the project manager because he is not sure of what work he needs to accomplish on the project. Which of the following documents contain detailed descriptions of work packages? | WBS dictionary
# During what part of the project management process is the project scope statement created? | Planning
# The program was planned years ago, before there was a massive introduction of new technology. While planning the next project in this program, the project manager has expanded the scope management plan because as a project becomes more complex, the level of uncertainty in the scope: | Increases
# During a meeting with some of the project stakeholders, the project manager is asked to add work to the project scope. The project manager had access to correspondence about the project before the project charter was signed and remembers that the project sponsor specifically denied funding for the scope mentioned by these stakeholders. | Tell the stakeholders the scope cannot be added
# A new project manager is being mentored by a more experienced certified project management professional ("PMP"). The new project manager is having difficulty finding enough time to manage the project because the product and project scope are being progressively elaborated. | Communicating with the customer
# During a project team meeting, a team member suggests an enhancement to the scope that is beyond the scope of the project charter. The project manager points out that the team needs to concentrate on completing all the work and only the work required. This is an example of: | Scope management
# When should the Verify Scope process be done? | At the end of each phase of the project
# The project is mostly complete. The project has a schedule variance of 300 and a cost variance of -900. All but one of the quality control inspections have been completed and all have met the quality requirements. All items in the issue log have been resolved. | Ask the customer for a description of the change
# You have just joined the project management office after five years of working on projects. One of the things you want to introduce to your company is the need to create and utilize WBSs. Some of the project managers are angry that you are asking them to do "extra work". | Tell them it will prevent work from slipping through the cracks
# A new project manager has asked you for advice on creating a work breakdown structure. After you explain the process to her, she asks you what software she should use to create the WBS and what she should do with it when she is finished creating it. | Team buy-in
# To manage a project effectively, work should be broken down into small pieces. Which of the following does NOT describe how far to decompose the work? | Until it can be done by one person
# A project manager may use to make sure the team members clearly know what work is included in each of their work packages. | A WBS dictionary
